sentence,true_sentiment,predicted_sentiment,confidence,rationale
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.78,"The statement reports a modest year‑over‑year increase (0.8%) in the Lithuanian beer market volume, indicating slight growth in demand, which is generally viewed positively by investors."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.96,"Both cargo revenue and cargo volume grew year‑over‑year, indicating improved operational performance and likely positive impact on the company's financial outlook."
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.94,"Doubling the fair value of the property portfolio signals a substantial increase in asset worth, which is generally viewed as a positive development for shareholders and the company's valuation."
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.96,"Net profit nearly tripled year‑over‑year and a higher payout is proposed, indicating strong financial performance and potential shareholder return."
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.92,"Earnings per share rose from EUR 1.12 to EUR 1.13, indicating a modest improvement in profitability, which is generally viewed positively by investors."
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.96,"Both commission income and lending volume show double‑digit growth, indicating stronger revenue streams and business expansion, which are favorable for the stock price."
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,positive,0.93,"Both traffic (RPK) and capacity (ASK) increased year‑over‑year, indicating growing demand and operational expansion, which are favorable signals for the company's revenue prospects."
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.96,"Both net profit (+14% YoY) and net sales (+~7.7% YoY) increased, indicating stronger earnings and revenue growth, which is favorable for the stock price."
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,0.96,"Net income for both life and non‑life insurance segments increased substantially year‑over‑year, indicating stronger profitability and likely positive impact on the company's valuation."
Sales have risen in other export markets .,positive,positive,0.86,"The statement indicates that sales are increasing in export markets, which suggests revenue growth and a favorable outlook for the company."
Sales increased due to growing market rates and increased operations .,positive,positive,0.94,"The statement reports higher sales driven by favorable market conditions and expanded operations, indicating revenue growth and a positive outlook for the company."
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,positive,0.86,"Strengthening a long‑term partnership with a major industry player signals strategic collaboration and potential future revenue growth, which is generally viewed favorably by investors."
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,positive,0.96,"The order book grew 24.2% year‑over‑year, indicating strong demand and likely future revenue growth, which is favorable for the stock."
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,positive,0.94,"Higher demand across key markets and a 4% increase in average paper prices suggest revenue growth and improved market conditions, which are favorable for the stock price."
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,positive,0.96,"Net profit jumped from €172 million to €603 million, a more than three‑fold increase, indicating strong earnings growth and likely positive impact on the stock price."
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,positive,0.96,"The statement reports that the shares of Standard Chartered, RBS, and Barclays all rose, indicating a favorable market reaction and positive sentiment for these stocks."
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,positive,0.97,"Earnings nearly doubled and market‑share growth signal strong operational performance, prompting the stock price to rise, which is favorable for investors."
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,positive,0.97,"Net profit jumped more than six‑fold year‑over‑year and the board proposed a 50 % dividend increase, both strong indicators of improved financial performance and shareholder value."
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,neutral,0.92,"The statement describes a research initiative to model Finland's economy, without indicating any direct financial performance, growth, loss, or corporate action that would affect a stock price."
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,neutral,0.82,"The announcement of share subscriptions and a capital increase signals a financing event, but without context on purpose or impact it provides no clear positive or negative implication for the stock price."
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,neutral,0.82,"The statement merely discloses the maximum number of shares that could be issued under an existing stock option plan. It does not indicate that the options will be exercised or that there is an immediate financial impact, so it is informational rather than clearly positive or negative for the stock price."
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,neutral,0.86,"The statement provides factual information about store count and turnover but lacks any comparison or trend indicating improvement or deterioration, so it does not clearly signal a positive or negative impact on the stock price."
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,0.96,"The statement highlights that the acquisition will substantially boost sales and strengthen market position, which are positive indicators for future earnings and stock performance."
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,positive,0.96,"Net sales increased year‑over‑year, indicating revenue growth and a favorable financial trend for investors."
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,positive,0.92,"Even after adjusting for structural changes, the division reported a rise in net sales, indicating modest but positive growth that is generally favorable for investors."
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,positive,0.96,"Net profit more than doubled year‑over‑year, indicating strong earnings growth and a favorable signal for investors."
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,positive,0.96,"Operating profit more than doubled year‑over‑year, indicating strong improvement in profitability and a favorable signal for the stock."
Finnish Bank of +land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,0.96,"The statement reports a clear increase in consolidated net operating profit year‑over‑year, indicating improved financial performance and likely positive impact on the stock price."
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,positive,0.96,"Operating profit increased by roughly 19% year‑over‑year, indicating improved profitability and a favorable signal for the stock."
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,positive,0.96,"The statement reports an 11.2% increase in net sales year‑over‑year, indicating revenue growth and a favorable financial development for the company."
Net sales of Finnish food industry company L+nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,positive,0.96,"Net sales grew 13% year‑over‑year, indicating stronger revenue performance and a positive signal for the company's stock price."
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,positive,0.94,"The statement indicates that Biohit already serves many Genesis customers and expects the customer base to grow because of the agreement, suggesting future revenue expansion and a favorable outlook for the stock."
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,positive,0.96,"The statement reports increases in both operating profit and turnover versus the prior period, indicating improved financial performance and likely positive impact on the stock price."
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,positive,0.94,"Revenue growth in both Finland (5%) and Sweden (4%) indicates improved financial performance, which is generally viewed positively by investors."
Clothing chain Sepp+l+ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,positive,0.96,"Net sales grew 7%, indicating revenue expansion and a favorable signal for the company's financial performance."
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,positive,0.94,"A consistent annual growth rate of 10‑15% in construction volumes signals expanding business activity, which is generally favorable for the company's revenue and stock price."
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,positive,0.94,"The statement forecasts continued net‑sales growth and a transition to profitability in 2009, indicating improving financial performance and a favorable outlook for the stock."
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,positive,0.96,"Operating cash flow rose from EUR 97 m to EUR 121 m, indicating stronger cash generation and improved financial health."
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,positive,0.96,"Operating profit more than doubled, indicating a strong improvement in financial performance."
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,positive,0.92,"A year‑over‑year increase in net sales, even modest at 2%, signals growth and is generally viewed favorably by investors."
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,positive,0.96,"A 59.8% increase in international sales indicates strong revenue growth and market expansion, which is favorable for the stock price."
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,positive,0.92,"The statement reports a modest increase in net sales year‑over‑year, indicating growth rather than a decline, which is generally viewed positively by investors."
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,positive,0.96,"Net sales rose sharply from EUR 438 million to EUR 655 million year‑over‑year, indicating strong revenue growth and a favorable impact on the stock price."
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,positive,0.96,"Net sales increased sharply by 25.5% YoY and charger deliveries rose 41%, indicating strong revenue growth and market demand, which are positive signals for the stock."
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,positive,0.92,"Net sales increased compared to the same period last year, indicating a modest improvement in revenue and a favorable signal for investors."
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,positive,0.96,"Operating profit more than doubled (145.1% increase), indicating a strong improvement in profitability and likely positive impact on the stock price."
Operating profit margin increased from 11.2 % to 11.7 % .,positive,positive,0.96,"An increase in operating profit margin signals improved efficiency and profitability, which is generally viewed favorably by investors."
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,positive,0.96,"Operating profit more than doubled, indicating a strong improvement in profitability and a favorable signal for the stock price."
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,positive,0.96,"Operating profit more than doubled, indicating a strong improvement in profitability for the quarter."
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,positive,0.96,"Operating profit increased from EUR 23.0 mn to EUR 24.5 mn, indicating improved profitability and a favorable signal for the stock price."
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,positive,0.94,"Net sales grew 3.3% year‑over‑year, indicating a modest improvement in revenue and a favorable signal for the stock."
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,positive,0.92,"Revenue increased by 2%, indicating growth in top‑line performance, which is generally viewed positively by investors."
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,positive,0.96,"The statement highlights a 50% year‑on‑year increase in comparable net sales and favourable trends in delivery volumes and selling prices, indicating strong financial performance and likely positive impact on the stock price."
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,positive,0.96,"Operating profit more than tripled year‑on‑year, indicating strong improvement in profitability and likely positive impact on the stock price."
The Department Store Division reported an increase in sales of 4 per cent .,positive,positive,0.94,"A 4% sales increase indicates growth in revenue for the division, which is generally viewed as positive news for investors."
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,positive,0.96,"The fair value of investment properties increased dramatically, indicating significant asset appreciation and a stronger balance sheet, which is generally viewed positively by investors."
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,positive,0.96,"The statement highlights that the quarter achieved the highest net sales of the year and that operating margin increased, both indicating strong financial performance and likely positive impact on the stock price."
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,positive,0.94,"Domestic beer sales rose 4.5% year‑over‑year, indicating revenue growth and a favorable market trend for the breweries."
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,positive,0.96,"Operating profit increased sharply (26.9%) to EUR 105.8 million, indicating strong improvement in profitability and likely positive impact on the stock price."
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,positive,0.96,"Net profit increased substantially year‑over‑year (≈25% rise), indicating improved profitability and a favorable signal for the stock."
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,positive,0.94,"An increase in order value to EUR 1.9 bn indicates growing demand and a stronger future revenue pipeline, which is generally viewed positively by investors."
Finnish Bank of +land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,positive,0.96,"Operating profit more than tripled year‑over‑year, indicating a strong improvement in profitability and a positive signal for the stock."
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,positive,0.96,"Operating profit jumped dramatically, indicating strong improvement in profitability and likely positive impact on the stock price."
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,positive,0.96,"Net sales increased substantially year‑over‑year, indicating stronger revenue performance and a favorable outlook for the company’s stock price."
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,positive,0.96,"An upward revision of the net sales growth estimate signals stronger expected revenue performance, which is favorable for the stock price."
"According to HKScan Finland , the plan is to increase J+rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,positive,0.78,"The statement outlines a strategic plan to raise net sales to a higher range (EUR 80‑100 mn), indicating expected growth and expansion, which is generally viewed positively by investors."
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,positive,0.92,"Both advertising and circulation revenues increased, indicating growth in core revenue streams, which is generally viewed favorably by investors."
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,positive,0.96,"A 42% increase in the order book signals a strong pipeline of future sales, which is viewed positively by investors."
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,positive,0.96,"Profit grew 10% in the first half, indicating improved earnings and a favorable signal for investors."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,positive,0.96,"Both operating profit and net sales rose compared to the prior year, indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",positive,positive,0.96,"The statement reports increases in both operating profit and net sales year‑over‑year, indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,positive,0.96,"The statement reports simultaneous increases in operating profit and net sales versus the prior year, indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,positive,0.96,"The statement reports increases in both operating profit and net sales versus the prior year, indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,positive,0.96,"Both operating profit and net sales grew year‑over‑year (26.6% and 3.4% respectively), indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,positive,0.96,"Both operating profit and net sales grew year‑over‑year, indicating stronger financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.96,"The statement reports increases in both operating profit and net sales versus the prior period, indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,positive,0.96,"Both operating profit and net sales grew year‑over‑year, indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive,positive,0.96,"Both operating profit and net sales grew versus the prior period, indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,positive,0.96,"Both operating profit and net sales rose compared to the same period in the prior year, indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,positive,0.96,"Both operating profit and net sales rose compared to the same quarter last year, indicating improved financial performance and likely positive impact on the stock price."
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,positive,0.96,"The statement reports increases in both operating profit and sales versus the prior period, indicating improved financial performance and likely positive impact on the stock price."
