sentence,true_sentiment,predicted_sentiment,confidence,rationale
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.95,"The statement highlights a dividend increase from EUR0.08 to EUR0.12 per share, signaling financial health and profitability. Dividend raises typically reflect positive cash flow and confidence in future earnings, aligning with 'positive' sentiment guidelines."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.95,"The statement highlights a 16.1% increase in subscriber base and a 1% rise in market share, both indicating growth and competitive positioning, which align with positive financial signals."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.95,"The statement highlights significant increases in net income from both life and non-life insurance segments (doubling and rising to new highs), which aligns with 'positive' criteria for financial growth and profitability."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.95,"The statement highlights significant increases in net sales (193.3m vs 179.9m) and a 34.2% rise in pretax profit, both of which are clear indicators of financial growth and improved profitability. These metrics align with the 'positive' category in the guidelines."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.95,"The statement highlights a significant 18.5% surge in net sales, which is a clear positive indicator of growth. The mention of acquisitions contributing 12.2% to sales further reinforces positive financial performance by demonstrating revenue generation from strategic expansions."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.95,"The statement highlights significant year-on-year increases in both operating profit (18%) and total revenue (3%), which directly align with positive financial indicators of growth and improved performance."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"The statement highlights increases in both operating profit (EUR13.6m) and net sales (EUR394.7m) compared to 2005, directly aligning with 'positive' criteria for financial growth and profitability."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"The statement reports increases in both operating profit (EUR1.2m) and revenue (EUR20.2m) compared to 2005, which directly aligns with positive financial indicators of growth and improved profitability."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.95,"The statement highlights significant year-over-year increases in both net profit (11.4%) and sales (13.8%), which are clear indicators of financial improvement. These metrics align with the 'positive' category in the guidelines, as they demonstrate growth and profitability."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.95,"The statement highlights a 0.8% year-over-year increase in Lithuanian beer market volume, which directly aligns with the 'positive' category for growth metrics. The specific numerical improvement and credible source (Brewers' Association) reinforce the positive sentiment."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.95,"The statement reports explicit increases in both cargo revenue (5.4%) and cargo volume (2.4%), which align with the 'positive' criteria of financial growth and improvements."
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.95,"The fair value of the property portfolio doubling indicates significant financial growth, and the acquisition-driven increase aligns with positive sentiment markers like revenue growth and successful expansions."
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.95,"The statement highlights a tripling of net profits (EUR297.3m vs EUR107.1m) and a proposed payout increase, both strong indicators of financial growth and positive investor sentiment."
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.95,"The statement shows a clear increase in EPS (EUR1.13 vs EUR1.12) from 2008 to 2009, indicating improved profitability. This directly aligns with the 'positive' criteria of financial growth and earnings enhancement."
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.95,"The statement highlights significant increases in commission income (22%) and lending volume (13.5%), which align with positive financial indicators of growth and improved performance."
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,positive,0.95,"The statement reports measurable growth in both revenue passenger kilometers (3.2% increase) and available seat kilometers (12.2% rise), which aligns with positive financial indicators of operational expansion and potential revenue growth."
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.95,"The statement reports year-on-year increases in both net profit (14% growth) and net sales (EUR 37.6 million increase), which directly align with positive financial indicators outlined in the guidelines."
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,0.95,"The statement shows significant increases in net income for both life (14.0 mn → 16.5 mn) and non-life insurance (15.2 mn → 22.6 mn) segments, directly aligning with 'positive' criteria of financial growth and profit expansion."
Sales have risen in other export markets .,positive,positive,0.9,"The statement indicates an increase in sales ('risen') in export markets, which aligns with positive financial improvements as per the guidelines."
Sales increased due to growing market rates and increased operations .,positive,positive,0.95,"The statement explicitly mentions 'sales increased' driven by positive factors like 'growing market rates' and 'increased operations,' which align with financial growth and expansion criteria for positive sentiment."
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,positive,0.9,"The statement highlights strengthening a long-term partnership, which implies positive business collaboration and potential future growth benefits for investors."
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,positive,0.95,"The statement highlights a 24.2% year-over-year increase in the order book, indicating strong growth. Specific figures and the upward trend clearly signal positive financial performance from an investor's perspective."
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,positive,0.95,"The statement highlights increased demand in all main markets and a 4% price increase, both indicating financial growth and positive market conditions."
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,positive,0.95,"The statement highlights a significant surge in net profit (euro603M vs. euro172M) and earnings per share (euro4.31 vs. euro0.94), directly aligning with 'positive' criteria for financial improvements and profit growth."
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,positive,0.95,"The statement reports stock price increases (1.2%, 2%, 1.7%) for multiple banks, which signals positive market sentiment. Rising share prices are typically viewed as favorable by investors, indicating perceived financial strength or market confidence."
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,positive,0.95,"The statement highlights earnings doubling and increased market share, which are clear indicators of financial growth and positive performance. The share price increase directly correlates with these positive financial results."
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,positive,0.95,"The statement highlights significant net profit growth ('soared to SEK6.745 bn') and a substantial dividend increase (50% to SEK1.50 per share), both strong indicators of financial improvement and shareholder value enhancement."
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,neutral,0.95,"The statement describes a routine academic research activity with no explicit financial outcomes, implications, or directional signals about profitability, growth, or risks. It focuses on a factual scenario analysis request without indicating positive or negative financial impacts."
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,neutral,0.95,The statement reports a factual announcement about share subscriptions and capital increase without indicating financial performance improvements or declines. It is a routine corporate action announcement with no clear positive or negative implications for investors.
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,neutral,0.95,"The statement provides a factual detail about stock option plan parameters without indicating financial performance changes, growth, or risks. It is a routine disclosure about share subscription limits under an existing plan, lacking clear positive or negative financial signals."
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,neutral,0.85,"The statement provides factual operational data (194 stores in six countries, 76.5 mln EUR turnover in 2005) without indicating growth, decline, or specific financial impacts. It describes current operations and historical performance without positive/negative implications."
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,0.95,"The statement highlights 'considerably increase' in sales and strengthened market position, which directly aligns with positive financial growth indicators. There are no negative or neutral signals in the statement."
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,positive,0.95,"The statement reports a specific increase in net sales (EUR 505.4 mn vs. EUR 473.5 mn) over a defined period, directly aligning with the 'positive' category for revenue growth. There are no negative or neutral indicators mentioned."
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,positive,0.9,"The statement reports a 1.7% increase in net sales after adjusting for structural changes, indicating growth despite potential complexities. This aligns with 'positive' criteria as it highlights revenue expansion, even if the adjustment suggests underlying structural shifts."
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,positive,0.95,The statement highlights a significant increase in net profit (EUR2.1m vs EUR995k) indicating financial improvement. This aligns with the 'positive' category as it demonstrates growth and profitability gains.
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,positive,0.95,"The statement shows a significant increase in operating profit (EUR 17.5 mn vs. EUR 8.2 mn) indicating financial improvement, which aligns with the 'positive' sentiment category."
Finnish Bank of +land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,0.95,"The statement shows a significant increase in consolidated net operating profit (EUR 4.8 mn to EUR 6.4 mn) over a 12-month period, directly aligning with the 'positive' category criteria of financial improvements and profit growth."
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,positive,0.95,"The statement shows a 19% increase in operating profit (EUR 44.4 mn vs EUR 37.3 mn) between periods, directly indicating financial improvement and growth, which aligns with the 'positive' sentiment criteria."
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,positive,0.95,"The statement highlights a 11.2% year-over-year increase in net sales, which directly aligns with positive financial performance indicators. The explicit mention of growth without any negative contextual factors confirms the positive sentiment."
Net sales of Finnish food industry company L+nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,positive,0.95,"The statement reports a 13% increase in net sales (EUR 349.1 mn vs EUR 309.6 mn) for continuing operations, directly aligning with the 'positive' criteria of financial growth and revenue expansion. No negative or neutral indicators are present."
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,positive,0.9,"The statement highlights expansion of the customer base due to a new agreement, indicating growth potential and positive business development aligned with 'successful expansions' in the guidelines."
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"The statement explicitly reports increases in both operating profit (EUR0.9m) and turnover (EUR8.3m) compared to 2005, aligning with positive financial indicators of growth and improved performance."
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,positive,0.95,"The statement reports specific revenue growth (5% in Finland, 4% in Sweden) which aligns with the 'positive' category under financial improvements. The percentages indicate clear revenue increases without mentioning any declines or negative factors."
Clothing chain Sepp+l+ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,positive,0.95,"The statement reports a 7.0% increase in net sales, which directly aligns with the 'positive' category in the guidelines (financial growth). The specific percentage and upward trend indicate clear positive financial performance."
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,positive,0.95,"The statement highlights construction volumes growing at a significant annual rate (10-15%), which directly aligns with 'financial improvements' and 'growth' in the positive sentiment category. The specific growth rate indicates a strong positive trend without mentioning any negative factors."
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,positive,0.95,"The statement explicitly mentions continued growth in net sales and favorable trends leading to profit, which aligns with positive financial indicators. Projections of growth and profitability strongly signal optimism from an investor's perspective."
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,positive,0.95,"The statement shows a significant increase in cash flow from operating activities (EUR121m vs EUR97m), indicating improved financial performance and operational efficiency, which aligns with the 'positive' sentiment category."
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,positive,0.95,"The statement reports a significant increase in operating profit (EUR 190,000 vs EUR 70,000) which directly aligns with the 'positive' criteria of financial improvements. The explicit numerical growth indicates strong performance without any negative or neutral contextual factors."
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,positive,0.95,"The statement reports a 2% increase in net sales (EUR 1,050.7 mn vs. EUR 1,027.0 mn), which directly aligns with the 'positive' category under financial improvements and revenue growth. There are no negative indicators or mixed signals in the statement."
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,positive,0.95,"The statement highlights a significant 59.8% increase in international sales, which directly aligns with 'financial improvements' and 'growth' in the positive sentiment criteria. The specific monetary value (EUR 1,244.4 mn) reinforces the positive impact of this revenue growth."
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,positive,0.95,"The statement explicitly mentions net sales growth from $401 million in 2006 to $585 million, which directly aligns with the 'positive' category under financial improvements and revenue increases."
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,positive,0.95,"The statement explicitly reports a significant increase in net sales (EUR655m vs. EUR438m year-over-year), which directly aligns with the 'positive' category under financial improvements and revenue growth."
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,positive,0.95,"The statement highlights significant year-on-year increases in net sales (25.5%) and charger deliveries (41%), which align with 'financial improvements' and 'growth' criteria. Both metrics demonstrate clear positive performance drivers without any negative or neutral indicators."
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,positive,0.95,The statement shows a revenue increase (EUR 93.6 mn vs. EUR 93.2 mn) which aligns with the 'positive' category for financial growth. The comparison to the prior year's period indicates improved sales performance without mentioning any negative factors.
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,positive,0.95,"The statement reports a significant 145.1% increase in operating profit to EUR 8.3 mn, directly aligning with 'positive' criteria for financial growth and profitability improvements."
Operating profit margin increased from 11.2 % to 11.7 % .,positive,positive,0.95,"The operating profit margin increased from 11.2% to 11.7%, indicating improved profitability and operational efficiency, which aligns with the 'positive' category in financial sentiment analysis."
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,positive,0.95,"The statement highlights a significant increase in operating profit (EUR 3.11 mn vs. EUR 1.22 mn), which directly aligns with 'financial improvements' and 'growth' in the positive sentiment category. There are no negative or neutral indicators present."
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,positive,0.95,"The statement reports a significant increase in operating profit (EUR 5mn vs EUR 2.8mn), which directly aligns with the 'positive' category as it indicates financial improvement and growth."
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,positive,0.95,"The statement shows a clear increase in operating profit (EUR 24.5 mn vs EUR 23.0 mn), which directly aligns with the 'positive' category indicating financial improvement and growth."
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,positive,0.95,"The statement highlights a 3.3% increase in net sales compared to the previous year, indicating revenue growth. This aligns with the 'positive' category as it reflects financial improvement and expansion."
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,positive,0.95,"The statement explicitly states revenue growth of 2% to $743 million from $569 million, which aligns with the 'positive' category as it indicates financial improvement and expansion."
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,positive,0.95,"The statement highlights significant year-on-year sales growth (50% increase) and favorable developments in delivery volumes and pricing, which are clear indicators of positive financial performance."
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,positive,0.95,"The statement shows a significant year-on-year increase in consolidated operating profit (EUR 15.86 mn vs EUR 4.14 mn), directly indicating financial improvement and growth, which aligns with the 'positive' sentiment criteria."
The Department Store Division reported an increase in sales of 4 per cent .,positive,positive,0.95,"The statement explicitly mentions a 4% increase in sales, which aligns with the 'positive' category under financial improvements and growth. There are no negative or neutral indicators present."
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,positive,0.95,"The statement shows a significant increase in the fair value of investment properties (EUR 2.803 billion vs. EUR 2.691 billion), indicating financial growth and positive asset valuation trends."
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,positive,0.95,"The statement highlights net sales as the 'best quarter' of 2009 (indicating revenue growth) and reports an increase in operating margin (12.2%), both of which are clear positive financial signals reflecting improved profitability and performance."
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,positive,0.95,"The statement reports a 4.5% increase in domestic beer sales, a clear indicator of growth and financial improvement. The numerical progression from 245.92 million to 256.88 million litres demonstrates positive performance without mentioning any declines or challenges."
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,positive,0.95,"The statement highlights a 26.9% increase in operating profit to EUR 105.8 million, which directly aligns with 'financial improvements' and 'growth' in the positive sentiment category. There are no indications of decline, loss, or negative factors mentioned."
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,positive,0.95,"The statement explicitly states a significant increase in net profit (EUR18.9m vs EUR15.1m) over the same period year-over-year, which directly aligns with the 'positive' criteria of financial improvements and profit growth."
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,positive,0.95,"The statement reports a significant increase in orders (EUR 1.9 billion) over 12 months, indicating growth in business activity and potential future revenue, which aligns with positive financial sentiment."
Finnish Bank of +land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,positive,0.95,"The statement highlights a significant increase in operating profit (from EUR 6.1 mn to EUR 21.3 mn), which directly aligns with the 'positive' category under financial improvements. There are no negative or neutral indicators mentioned."
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,positive,0.95,The statement reports a significant increase in operating profit (EUR 47.0 mn vs. EUR 6.6 mn) which directly aligns with 'financial improvements' and 'profit increases' in the positive sentiment guidelines. The explicit numerical growth demonstrates clear positive financial performance.
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,positive,0.95,The statement reports a significant increase in net sales (EUR 51.3 mn vs. EUR 37.5 mn) which directly aligns with the 'positive' criteria of financial growth. There are no negative or neutral indicators present in the statement.
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,positive,0.95,"The statement shows a significant upward revision (25% to 35%) in net sales growth estimates, indicating improved financial expectations and positive outlook for revenue growth."
"According to HKScan Finland , the plan is to increase J+rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,positive,0.95,"The statement explicitly mentions a planned increase in net sales (EUR 80mn to EUR 100mn), which directly aligns with the 'positive' category under financial improvements and revenue growth."
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,positive,0.95,"The statement reports revenue growth (3.4% and 0.4%) in two key segments, which directly aligns with 'positive' criteria for financial improvements. Both growth rates are explicitly positive metrics without any offsetting negative factors mentioned."
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,positive,0.95,"The statement highlights a 42% increase in the order book compared to the previous year, which directly aligns with 'financial improvements' and 'growth' criteria. The specific percentage growth strengthens the positive sentiment, with no conflicting or neutral language present."
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,positive,0.95,"The statement explicitly mentions a 10% increase in profit, a clear financial improvement indicating positive performance. The specific figure of Ls 79,000 reinforces the positive growth narrative without mentioning any negative factors."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,positive,0.95,"The statement explicitly mentions increases in both operating profit and net sales compared to 2004, which directly aligns with positive financial indicators. Specific numerical growth (EUR10.5m, EUR28.8m) reinforces the positive sentiment without ambiguity."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",positive,positive,0.95,"The statement explicitly mentions increases in both operating profit (EUR20.8m) and net sales (EUR177.7m) compared to 2004, which directly aligns with positive financial indicators of growth and improved performance."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,positive,0.95,"The statement explicitly mentions increases in both operating profit (EUR21.5m) and net sales (EUR196.1m) compared to 2005, which directly aligns with positive financial indicators of growth and improved performance."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,positive,0.95,"The statement explicitly reports increases in both operating profit (EUR4.7m) and net sales (EUR26.7m) compared to 2004, which aligns with the 'positive' criteria of financial growth and revenue improvements."
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,positive,0.95,"The statement highlights significant increases in both operating profit (26.6%) and net sales (3.4%) compared to 2006, directly aligning with positive financial indicators of growth and improved performance."
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,positive,0.95,"The statement explicitly mentions increases in both operating profit (EUR13.8m) and net sales (EUR143.6m) compared to 2007, which directly aligns with positive financial indicators of growth and improved performance."
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"The statement explicitly mentions increases in both operating profit (EUR0.4m) and net sales (EUR3.2m) compared to 2005, directly aligning with positive financial indicators of growth and improved performance."
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,positive,0.95,"The statement explicitly reports increases in both operating profit (EUR18.1m) and net sales (EUR127.6m) compared to 2006, directly aligning with 'positive' criteria for financial growth and profitability."
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"The statement explicitly mentions increases in both operating profit and net sales compared to 2005, which aligns with positive financial indicators of growth and improved performance."
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"The statement explicitly reports increases in both operating profit (EUR15.1m) and net sales (EUR131.5m) compared to 2005, which directly aligns with positive financial indicators of growth and improved performance."
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,positive,0.95,"The statement explicitly mentions increases in both operating profit and net sales compared to the prior year quarter, which directly aligns with positive financial indicators. The specific figures (EUR16.0m, EUR139m) and clear comparison to 2006 data reinforce the positive sentiment."
