sentence,true_sentiment,predicted_sentiment,confidence,rationale
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,positive,0.95,"Net profit jumped dramatically and the dividend was raised, signaling strong earnings and shareholder returns."
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,neutral,0.9,The statement merely reports a research activity with no direct implication for financial performance or stock price.
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,neutral,0.6,"The announcement of new share subscriptions with warrants indicates a capital raise that could dilute existing shareholders, but without details on how the funds will be used, the impact on the stock price is unclear."
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,negative,0.8,"The statement indicates potential issuance of new shares, which could dilute existing shareholders and is generally viewed negatively by investors."
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,neutral,0.8,"The statement merely reports Tiimari's store count and 2005 turnover without indicating growth, decline, or comparison to expectations."
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,0.95,"The acquisition is expected to boost Kemira's sales and strengthen its market position, which is favorable for investors."
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,positive,0.95,"Net sales increased year‑over‑year, indicating stronger revenue performance."
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,positive,0.9,"Net sales rose 1.7%, indicating revenue growth for the division."
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,positive,0.95,"Net profit more than doubled, indicating strong earnings growth."
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,positive,0.95,"Operating profit more than doubled, indicating strong earnings growth."
Finnish Bank of +land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,0.95,"Net operating profit rose from €4.8 mn to €6.4 mn, indicating stronger earnings."
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,positive,0.95,"Operating profit rose from EUR 37.3 mn to EUR 44.4 mn, indicating improved profitability."
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,positive,0.95,"Net sales rose 11.2% year‑over‑year, indicating stronger revenue performance."
Net sales of Finnish food industry company L+nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,positive,0.95,"A 13% increase in net sales signals stronger revenue performance, which is generally viewed favorably by investors."
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,positive,0.85,"The statement indicates that Biohit’s customer base is expected to grow as a result of the agreement, implying potential revenue expansion."
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and turnover rose compared to the same period in 2005, indicating improved financial performance."
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,positive,0.9,"Revenue growth in key markets signals improved performance, which is generally viewed favorably by investors."
Clothing chain Sepp+l+ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,positive,0.95,"Net sales rose 7%, indicating revenue growth that is favorable for the stock."
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,positive,0.9,"Annual growth of 10‑15% in construction volumes signals rising demand, which is generally favorable for construction and related sectors."
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,positive,0.95,"The company forecasts continued net sales growth and a profit for 2009, indicating favorable financial prospects."
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,positive,0.9,"Operating cash flow rose from EUR97m to EUR121m, indicating improved cash generation and a positive signal for investors."
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,positive,0.95,"Operating profit increased from EUR 70,000 to EUR 190,000, indicating improved profitability."
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,positive,0.9,"A 2% increase in net sales year‑over‑year signals revenue growth, which is generally viewed favorably by investors."
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,positive,0.95,"International sales grew by 59.8%, indicating strong revenue growth that is favorable for the stock."
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,positive,0.8,"Net sales increased from 401 million to 402 million, indicating a modest revenue growth that is generally viewed favorably by investors."
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,positive,0.95,"Net sales rose significantly year‑over‑year, indicating stronger revenue performance."
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,positive,0.95,"Revenue and unit sales both increased significantly YoY, indicating strong growth."
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,positive,0.8,"Net sales rose from EUR 93.2 mn to EUR 93.6 mn, indicating modest revenue growth."
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,positive,0.95,"Operating profit surged by 145.1%, showing strong earnings growth that is favorable for investors."
Operating profit margin increased from 11.2 % to 11.7 % .,positive,positive,0.95,"An increase in operating profit margin signals improved profitability, which is generally viewed favorably by investors."
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,positive,0.95,"Operating profit increased from EUR 1.22 mn to EUR 3.11 mn, indicating stronger profitability."
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,positive,0.95,"Operating profit increased from EUR 2.8 mn to EUR 5 mn, indicating stronger profitability."
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,positive,0.95,"Operating profit rose from 23.0 mn to 24.5 mn, indicating improved profitability."
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,positive,0.9,"Net sales rose 3.3% year‑over‑year, indicating revenue growth that is generally viewed favorably by investors."
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,positive,0.95,"Revenue increased 2%, indicating better performance."
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,positive,0.95,"The company reported a 50% year‑on‑year increase in comparable net sales with favourable delivery volumes and selling prices, indicating strong revenue growth."
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,positive,0.95,"Operating profit rose sharply from €4.14 mn to €15.86 mn YoY, indicating strong earnings growth."
The Department Store Division reported an increase in sales of 4 per cent .,positive,positive,0.95,"A 4% sales increase signals growth for the division, which is generally viewed favorably by investors."
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,positive,0.9,"The fair value of investment properties increased dramatically, indicating asset appreciation and a positive outlook for the company."
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,positive,0.95,"The company reports its best net sales quarter of 2009 and an improved operating margin, signaling strong performance."
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,positive,0.9,"A 4.5% increase in domestic beer sales signals higher revenue, which is generally viewed favorably by investors."
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,positive,0.95,"Operating profit increased by 26.9%, indicating stronger profitability."
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,positive,0.95,"Profit increased by roughly 25%, indicating better performance and likely favorable for the stock."
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,positive,0.9,"Orders rising to EUR 1.9 bn over 12 months signals strong demand and likely revenue growth, which is favorable for the stock."
Finnish Bank of +land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,positive,0.95,"Operating profit jumped from €6.1 mn to €21.3 mn, indicating strong earnings growth."
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,positive,0.95,"Operating profit surged dramatically, indicating strong financial performance."
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,positive,0.95,"Net sales increased significantly, indicating stronger revenue performance."
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,positive,0.95,"The company is projecting a significantly higher sales growth rate, which is favorable for investors."
"According to HKScan Finland , the plan is to increase J+rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,positive,0.9,"The company plans to raise net sales to a higher range, indicating expected revenue growth."
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,positive,0.9,"Both advertising and circulation revenues increased, indicating stronger top‑line performance."
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,positive,0.95,"The order book grew 42% year‑over‑year, signaling stronger demand and likely positive impact on future revenue."
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,positive,0.95,"Profit rose 10% in the first half, indicating stronger earnings."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,positive,0.95,"Both operating profit and net sales increased compared to the previous year, indicating stronger financial performance."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",positive,positive,0.95,"Both operating profit and net sales increased compared to the previous year, indicating stronger financial performance."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,positive,0.95,"Both operating profit and net sales rose compared to the previous year, indicating stronger financial performance."
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,positive,0.95,"Both operating profit and net sales rose compared to the previous year, indicating improved financial performance."
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,positive,0.95,"Operating profit rose 26.6% and net sales increased 3.4%, indicating strong financial performance."
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,positive,0.95,"Both operating profit and net sales rose compared to the prior year, indicating stronger performance."
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and net sales rose compared to the same period last year, indicating stronger performance."
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,positive,0.95,"Both operating profit and net sales rose compared to the same period last year, indicating stronger performance."
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Operating profit and net sales both rose compared to the prior year, indicating stronger performance."
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Operating profit and net sales both rose compared to the same period in 2005, indicating stronger performance."
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,positive,0.95,"Both operating profit and net sales rose compared to the prior year, indicating stronger performance."
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and sales rose compared to the same period last year, indicating better performance."
