sentence,sentiment,char_length,word_count
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,80,15
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,119,28
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,86,19
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,158,30
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",positive,159,30
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,140,27
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,138,27
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,158,29
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,171,32
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,166,31
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,169,31
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive,168,31
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,171,31
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,168,29
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,165,30
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,170,31
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,171,31
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,169,31
Cargo volume increased by approximately 5 % .,positive,45,8
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive,75,14
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,130,29
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,67,15
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,69,15
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive,67,15
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,positive,67,15
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,44,10
EBIT margin was up from 1.4 % to 5.1 % .,positive,40,11
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",positive,67,14
"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",positive,180,39
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",positive,245,48
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,235,32
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,positive,202,43
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive,194,42
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive,218,48
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,positive,199,42
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,185,40
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,positive,179,37
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",positive,240,44
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",positive,235,45
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,positive,155,34
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,positive,89,17
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",positive,127,25
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",positive,141,27
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive,92,22
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,81,15
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",positive,163,28
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive,182,31
"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",positive,202,38
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",positive,131,23
"In Q1 of 2010 , Bank of +land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",positive,94,22
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",positive,127,25
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",positive,94,20
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive,121,25
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",positive,109,25
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive,134,27
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",positive,128,27
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,positive,77,14
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",positive,209,37
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",positive,83,17
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,83,18
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",positive,209,46
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",positive,187,44
"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",positive,200,46
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive,231,50
"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",positive,231,51
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",positive,94,19
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive,80,18
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",positive,69,16
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",positive,59,14
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive,78,17
"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .",positive,98,20
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,positive,65,14
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,160,34
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,positive,55,12
Operating profit rose to 22.1 mln eur from 19.9 mln .,positive,53,11
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,positive,89,18
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,positive,89,17
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,positive,90,18
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,positive,91,18
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,positive,63,14
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,positive,89,18
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,positive,53,12
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive,53,12
Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,positive,89,18
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,positive,64,14
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,52,9
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive,105,20
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",positive,59,13
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",positive,55,13
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",positive,63,15
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",positive,187,31
Orders received grew by 55 % year-on-year to EUR732m .,positive,54,10
Orion Pharma 's operating profit increased by 42.5 % from 2004 .,positive,64,12
Passenger volumes rose by 8.4 % in the accounting period .,positive,58,11
Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,positive,83,17
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,positive,86,18
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",positive,87,17
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,positive,60,14
"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",positive,60,13
"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .",positive,101,21
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,59,15
"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",positive,67,17
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,positive,71,16
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,118,24
Revenues at the same time grew 14 percent to 43 million euros .,positive,63,13
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",positive,189,39
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,positive,78,16
"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .",positive,147,32
"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",positive,148,29
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .",positive,188,32
That would be an increase from estimated sales of 117 million last year .,positive,73,14
"The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .",positive,99,20
The company expects its net sales in 2008 to increase 5-10 % from 2007 .,positive,72,15
"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .",positive,97,20
The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,positive,72,16
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",positive,101,20
"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",positive,220,41
"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",positive,245,50
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .,positive,88,18
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,positive,93,20
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,positive,93,20
The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,positive,90,16
Total operating revenue grew by 27.6 % year-on-year to EUR61m .,positive,63,11
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,positive,84,19
"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",positive,83,16
1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,positive,175,34
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,positive,116,22
Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,positive,72,16
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,positive,74,17
"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",positive,100,19
Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,positive,55,12
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",positive,144,21
"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",positive,105,25
EPS grew to 0.04 eur from 0.02 eur .,positive,36,9
Exports grew 16.5 percent to 19.1 million liters .,positive,50,9
"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",positive,206,43
Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,positive,148,31
"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 .",positive,223,39
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",positive,72,16
"However , the proportion of the paid standing orders grew in 2009 .",positive,67,13
