sentence,true_sentiment,predicted_sentiment,confidence,rationale,path_scores,full_response
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.85,"The statement indicates a dividend increase from EUR0.08 to EUR0.12 per share, which is a positive signal for investors as it suggests improved financial performance, profitability, and the ability to distribute higher returns. This aligns with positive market sentiment, while no negative indicators are present.","{'positive': 0.85, 'negative': 0.1, 'neutral': 0.55}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.85,
    ""rationale"": ""The statement indicates a dividend increase from EUR0.08 to EUR0.12 per share, which is a positive signal for investors as it suggests improved financial performance, profitability, and the ability to distribute higher returns. This aligns with positive market sentiment, while no negative indicators are present."",
    ""path_scores"": {
        ""positive"": 0.85,
        ""negative"": 0.10,
        ""neutral"": 0.55
    }
}"
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.7,"The statement indicates significant growth in MegaFon's subscriber base (16.1% increase to 50.5 million users) and a slight increase in market share (from 23% to 24%), which suggests positive momentum for the company. However, the lack of financial metrics like revenue or profit makes the sentiment less certain, leading to a moderate confidence score. This growth could be seen as favorable for investors, outweighing any neutral or negative aspects.","{'positive': 0.7, 'negative': 0.1, 'neutral': 0.5}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.7,
    ""rationale"": ""The statement indicates significant growth in MegaFon's subscriber base (16.1% increase to 50.5 million users) and a slight increase in market share (from 23% to 24%), which suggests positive momentum for the company. However, the lack of financial metrics like revenue or profit makes the sentiment less certain, leading to a moderate confidence score. This growth could be seen as favorable for investors, outweighing any neutral or negative aspects."",
    ""path_scores"": {
        ""positive"": 0.7,
        ""negative"": 0.1,
        ""neutral"": 0.5
    }
}"
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.95,"The statement highlights significant growth in both life and non-life insurance segments, with net income doubling and increasing respectively. This indicates strong financial performance and positive momentum, outweighing any potential for neutral or negative interpretations.","{'positive': 0.95, 'negative': 0.05, 'neutral': 0.05}","```json
{
    ""sentiment"": ""positive"",
    ""confidence"": 0.95,
    ""rationale"": ""The statement highlights significant growth in both life and non-life insurance segments, with net income doubling and increasing respectively. This indicates strong financial performance and positive momentum, outweighing any potential for neutral or negative interpretations."",
    ""path_scores"": {
        ""positive"": 0.95,
        ""negative"": 0.05,
        ""neutral"": 0.05
    }
}
```"
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.95,"The statement demonstrates clear positive financial performance with a significant increase in both net sales (up 7.4%) and pretax profit (up 34.2%). The profit growth substantially outpaces revenue growth, indicating improved operational efficiency or pricing power. There is no mention of any negative factors, declines, or financial deterioration, making the positive sentiment very strong.","{'positive': 0.95, 'negative': 0.05, 'neutral': 0.0}","```json
{
    ""sentiment"": ""positive"",
    ""confidence"": 0.95,
    ""rationale"": ""The statement demonstrates clear positive financial performance with a significant increase in both net sales (up 7.4%) and pretax profit (up 34.2%). The profit growth substantially outpaces revenue growth, indicating improved operational efficiency or pricing power. There is no mention of any negative factors, declines, or financial deterioration, making the positive sentiment very strong."",
    ""path_scores"": {
        ""positive"": 0.95,
        ""negative"": 0.05,
        ""neutral"": 0.0
    }
}
```"
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.75,"The statement contains clear positive information about net sales increasing by 18.5%, which is a strong indicator of financial health and growth. This evidence outweighs any potential nuance from the mention of acquisition revenue, which provides context but does not detract from the overall positive sentiment.","{'positive': 0.75, 'negative': 0.1, 'neutral': 0.15}","```json
{
    ""sentiment"": ""positive"",
    ""confidence"": 0.75,
    ""rationale"": ""The statement contains clear positive information about net sales increasing by 18.5%, which is a strong indicator of financial health and growth. This evidence outweighs any potential nuance from the mention of acquisition revenue, which provides context but does not detract from the overall positive sentiment."",
    ""path_scores"": {
        ""positive"": 0.75,
        ""negative"": 0.1,
        ""neutral"": 0.15
    }
}
```"
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.95,"The statement indicates strong financial performance with a significant 18% increase in operating profit and a modest 3% revenue growth. These positive figures, absent any negative indicators, strongly suggest positive sentiment for investors.","{'positive': 0.95, 'negative': 0.05, 'neutral': 0.0}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.95,
    ""rationale"": ""The statement indicates strong financial performance with a significant 18% increase in operating profit and a modest 3% revenue growth. These positive figures, absent any negative indicators, strongly suggest positive sentiment for investors."",
    ""path_scores"": {
        ""positive"": 0.95,
        ""negative"": 0.05,
        ""neutral"": 0.00
    }
}"
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.8,"The statement shows an increase in both operating profit and net sales compared to the same period in 2005, which indicates financial improvement and is generally favorable for investors. The lack of any negative indicators supports this positive sentiment, outweighing the neutral aspects due to the absence of additional context.","{'positive': 0.8, 'negative': 0.1, 'neutral': 0.1}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.8,
    ""rationale"": ""The statement shows an increase in both operating profit and net sales compared to the same period in 2005, which indicates financial improvement and is generally favorable for investors. The lack of any negative indicators supports this positive sentiment, outweighing the neutral aspects due to the absence of additional context."",
    ""path_scores"": {
        ""positive"": 0.8,
        ""negative"": 0.1,
        ""neutral"": 0.1
    }
}"
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.7,"The statement indicates an increase in both operating profit and revenue compared to the same period in 2005, which is generally positive for investors as it suggests financial growth. However, the low profit margin (approximately 5.9%) based on the given figures may indicate underlying issues, reducing confidence slightly. The overall evidence leans positive due to the clear improvement in key metrics.","{'positive': 0.7, 'negative': 0.1, 'neutral': 0.6}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.7,
    ""rationale"": ""The statement indicates an increase in both operating profit and revenue compared to the same period in 2005, which is generally positive for investors as it suggests financial growth. However, the low profit margin (approximately 5.9%) based on the given figures may indicate underlying issues, reducing confidence slightly. The overall evidence leans positive due to the clear improvement in key metrics."",
    ""path_scores"": {
        ""positive"": 0.7,
        ""negative"": 0.1,
        ""neutral"": 0.6
    }
}"
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.8,"The statement shows a year-over-year increase in both net profit (11.4%) and sales (13.8%), indicating financial growth and positive performance, which is generally favorable for investors. This outweighs the lack of contextual details that could make it neutral or the absence of negative elements that could make it negative.","{'positive': 0.8, 'negative': 0.1, 'neutral': 0.5}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.8,
    ""rationale"": ""The statement shows a year-over-year increase in both net profit (11.4%) and sales (13.8%), indicating financial growth and positive performance, which is generally favorable for investors. This outweighs the lack of contextual details that could make it neutral or the absence of negative elements that could make it negative."",
    ""path_scores"": {
        ""positive"": 0.8,
        ""negative"": 0.1,
        ""neutral"": 0.5
    }
}"
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,neutral,0.85,"The statement reports a small increase in beer market volume (0.8%) but lacks context on financial performance (e.g., revenue, profit) or market conditions. The growth is modest and not explicitly tied to investor outcomes, making it neither strongly positive nor negative. The neutral classification best captures the factual reporting without clear bullish or bearish implications.","{'positive': 0.3, 'negative': 0.1, 'neutral': 0.85}","```json
{
    ""sentiment"": ""neutral"",
    ""confidence"": 0.85,
    ""rationale"": ""The statement reports a small increase in beer market volume (0.8%) but lacks context on financial performance (e.g., revenue, profit) or market conditions. The growth is modest and not explicitly tied to investor outcomes, making it neither strongly positive nor negative. The neutral classification best captures the factual reporting without clear bullish or bearish implications."",
    ""path_scores"": {
        ""positive"": 0.3,
        ""negative"": 0.1,
        ""neutral"": 0.85
    }
}
```"
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.9,"The statement reports growth in both cargo revenue (5.4% increase) and cargo volume (2.4% increase), which are positive financial indicators. There is no mention of any negative factors like cost increases or revenue declines, and the context suggests operational improvement without contradicting factors.","{'positive': 0.9, 'negative': 0.1, 'neutral': 0.5}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.9,
    ""rationale"": ""The statement reports growth in both cargo revenue (5.4% increase) and cargo volume (2.4% increase), which are positive financial indicators. There is no mention of any negative factors like cost increases or revenue declines, and the context suggests operational improvement without contradicting factors."",
    ""path_scores"": {
        ""positive"": 0.9,
        ""negative"": 0.1,
        ""neutral"": 0.5
    }
}"
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.9,"The statement highlights a doubling of the property portfolio's fair value due to the Kapiteeli acquisition, indicating significant growth and potential for increased investor value, which outweighs any neutral or negative implications not mentioned. The absence of any decline or deterioration language supports this positive interpretation.","{'positive': 0.85, 'negative': 0.05, 'neutral': 0.1}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.9,
    ""rationale"": ""The statement highlights a doubling of the property portfolio's fair value due to the Kapiteeli acquisition, indicating significant growth and potential for increased investor value, which outweighs any neutral or negative implications not mentioned. The absence of any decline or deterioration language supports this positive interpretation."",
    ""path_scores"": {
        ""positive"": 0.85,
        ""negative"": 0.05,
        ""neutral"": 0.10
    }
}"
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.9,"The statement highlights a significant increase in net profit (almost tripling from €107.1m to €297.3m) and the announcement of a raised payout proposal, both strong positive indicators for investor sentiment. There is no evidence of financial deterioration or neutral impact, making positive the strongest classification.","{'positive': 0.9, 'negative': 0.1, 'neutral': 0.0}","```json
{
    ""sentiment"": ""positive"",
    ""confidence"": 0.9,
    ""rationale"": ""The statement highlights a significant increase in net profit (almost tripling from €107.1m to €297.3m) and the announcement of a raised payout proposal, both strong positive indicators for investor sentiment. There is no evidence of financial deterioration or neutral impact, making positive the strongest classification."",
    ""path_scores"": {
        ""positive"": 0.9,
        ""negative"": 0.1,
        ""neutral"": 0.0
    }
}
```"
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.7,"The EPS increased from EUR1.12 in 2008 to EUR1.13 in 2009, indicating a small but positive improvement in earnings per share, which is generally viewed as favorable for investors. Although the increase is minor, it suggests better profitability and meets or exceeds expectations in a potentially challenging year, outweighing any lack of additional context that might suggest neutrality.","{'positive': 0.7, 'negative': 0.1, 'neutral': 0.6}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.7,
    ""rationale"": ""The EPS increased from EUR1.12 in 2008 to EUR1.13 in 2009, indicating a small but positive improvement in earnings per share, which is generally viewed as favorable for investors. Although the increase is minor, it suggests better profitability and meets or exceeds expectations in a potentially challenging year, outweighing any lack of additional context that might suggest neutrality."",
    ""path_scores"": {
        ""positive"": 0.7,
        ""negative"": 0.1,
        ""neutral"": 0.6
    }
}"
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.9,"The statement shows a 22% increase in commission income and a 13.5% rise in lending volume, indicating strong financial growth. This positive performance lacks any mention of negative factors, making the positive hypothesis the strongest with high confidence.","{'positive': 0.9, 'negative': 0.1, 'neutral': 0.4}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.9,
    ""rationale"": ""The statement shows a 22% increase in commission income and a 13.5% rise in lending volume, indicating strong financial growth. This positive performance lacks any mention of negative factors, making the positive hypothesis the strongest with high confidence."",
    ""path_scores"": {
        ""positive"": 0.9,
        ""negative"": 0.1,
        ""neutral"": 0.4
    }
}"
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,neutral,0.7,"The statement reports positive operational growth in both revenue passenger kilometers (RPK) and available seat kilometers (ASK), but the significant disparity in growth rates (3.2% vs. 12.2%) raises concerns about potential margin compression or overcapacity without clear financial impact. This lack of definitive positive or negative financial implication leads to a neutral classification, outweighing the slightly positive operational data and the potential negative risks mentioned in the negative hypothesis.","{'positive': 0.6, 'negative': 0.3, 'neutral': 0.7}","{
    ""sentiment"": ""neutral"",
    ""confidence"": 0.7,
    ""rationale"": ""The statement reports positive operational growth in both revenue passenger kilometers (RPK) and available seat kilometers (ASK), but the significant disparity in growth rates (3.2% vs. 12.2%) raises concerns about potential margin compression or overcapacity without clear financial impact. This lack of definitive positive or negative financial implication leads to a neutral classification, outweighing the slightly positive operational data and the potential negative risks mentioned in the negative hypothesis."",
    ""path_scores"": {
        ""positive"": 0.6,
        ""negative"": 0.3,
        ""neutral"": 0.7
    }
}"
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.9,"The statement shows clear year-on-year growth in both net profit (14% increase) and net sales (growth from €487.7M to €525.3M), indicating strong financial performance. There is no evidence of financial deterioration or neutral impact.","{'positive': 0.9, 'negative': 0.1, 'neutral': 0.0}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.9,
    ""rationale"": ""The statement shows clear year-on-year growth in both net profit (14% increase) and net sales (growth from €487.7M to €525.3M), indicating strong financial performance. There is no evidence of financial deterioration or neutral impact."",
    ""path_scores"": {
        ""positive"": 0.9,
        ""negative"": 0.1,
        ""neutral"": 0.0
    }
}"
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,0.9,"The statement reports significant growth in net income for both life and non-life insurance segments (16.5 mn vs 14.0 mn and 22.6 mn vs 15.2 mn). This indicates improved profitability, which is positive news for investors. There is no mention of any negative factors, and the growth is substantial enough to outweigh any potential neutral context.","{'positive': 0.9, 'negative': 0.1, 'neutral': 0.0}","```json
{
    ""sentiment"": ""positive"",
    ""confidence"": 0.9,
    ""rationale"": ""The statement reports significant growth in net income for both life and non-life insurance segments (16.5 mn vs 14.0 mn and 22.6 mn vs 15.2 mn). This indicates improved profitability, which is positive news for investors. There is no mention of any negative factors, and the growth is substantial enough to outweigh any potential neutral context."",
    ""path_scores"": {
        ""positive"": 0.9,
        ""negative"": 0.1,
        ""neutral"": 0.0
    }
}
```"
Sales have risen in other export markets .,positive,positive,0.8,"The statement indicates an increase in sales in other export markets, which is generally positive for the company's financial health and growth potential. While the vagueness of the statement (e.g., no quantification of the rise) prevents full certainty, the core message of sales growth leans positive, outweighing the neutral or slightly negative implications from the phrase 'other export markets' which might suggest challenges elsewhere, but does not directly contradict the positive sentiment.","{'positive': 0.8, 'negative': 0.1, 'neutral': 0.5}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.8,
    ""rationale"": ""The statement indicates an increase in sales in other export markets, which is generally positive for the company's financial health and growth potential. While the vagueness of the statement (e.g., no quantification of the rise) prevents full certainty, the core message of sales growth leans positive, outweighing the neutral or slightly negative implications from the phrase 'other export markets' which might suggest challenges elsewhere, but does not directly contradict the positive sentiment."",
    ""path_scores"": {
        ""positive"": 0.8,
        ""negative"": 0.1,
        ""neutral"": 0.5
    }
}"
Sales increased due to growing market rates and increased operations .,positive,positive,0.9,"The statement explicitly mentions an increase in sales, driven by positive factors like growing market rates and increased operations. There is no evidence of financial deterioration or neutral factors, making the positive sentiment the strongest classification.","{'positive': 0.9, 'negative': 0.1, 'neutral': 0.0}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.9,
    ""rationale"": ""The statement explicitly mentions an increase in sales, driven by positive factors like growing market rates and increased operations. There is no evidence of financial deterioration or neutral factors, making the positive sentiment the strongest classification."",
    ""path_scores"": {
        ""positive"": 0.9,
        ""negative"": 0.1,
        ""neutral"": 0.0
    }
}"
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,positive,0.7,"The statement uses positive language ('strengthens') indicating a beneficial development for the company, potentially leading to future financial benefits through a stronger partnership, despite the lack of specific financial details. This outweighs the neutral and negative possibilities.","{'positive': 0.7, 'negative': 0.1, 'neutral': 0.6}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.7,
    ""rationale"": ""The statement uses positive language ('strengthens') indicating a beneficial development for the company, potentially leading to future financial benefits through a stronger partnership, despite the lack of specific financial details. This outweighs the neutral and negative possibilities."",
    ""path_scores"": {
        ""positive"": 0.7,
        ""negative"": 0.1,
        ""neutral"": 0.6
    }
}"
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,positive,0.8,"The order book increased by 24.2% year-over-year, indicating strong future revenue potential and positive growth for the company. International orders also show diversification, which is favorable. However, the statement lacks context on profitability or risks, so the positive sentiment is not absolute.","{'positive': 0.8, 'negative': 0.2, 'neutral': 0.5}","{
    ""sentiment"": ""positive"",
    ""confidence"": 0.8,
    ""rationale"": ""The order book increased by 24.2% year-over-year, indicating strong future revenue potential and positive growth for the company. International orders also show diversification, which is favorable. However, the statement lacks context on profitability or risks, so the positive sentiment is not absolute."",
    ""path_scores"": {
        ""positive"": 0.8,
        ""negative"": 0.2,
        ""neutral"": 0.5
    }
}"
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,positive,0.9,"The statement indicates strong demand growth across all main markets and a 4% price increase, both of which are positive drivers for revenue and profitability. There is no mention of any negative factors like cost increases or market declines, making the positive sentiment the strongest. Neutral or negative hypotheses lack sufficient evidence.","{'positive': 0.9, 'negative': 0.1, 'neutral': 0.2}","```json
{
    ""sentiment"": ""positive"",
    ""confidence"": 0.9,
    ""rationale"": ""The statement indicates strong demand growth across all main markets and a 4% price increase, both of which are positive drivers for revenue and profitability. There is no mention of any negative factors like cost increases or market declines, making the positive sentiment the strongest. Neutral or negative hypotheses lack sufficient evidence."",
    ""path_scores"": {
        ""positive"": 0.9,
        ""negative"": 0.1,
        ""neutral"": 0.2
    }
}
```"
